Target relationship: chronotype_desync -> cluster
Model Formula: Formula(cluster ~ age + chronotype_desync + patient_chronotype + sex + sri + (1|id))

                        mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd   ess_bulk  ess_tail  r_hat
1|id[1, 2550]         -0.067  0.661  -1.313    1.154      0.005    0.009  14622.074  5507.617  1.000
1|id[1, 2551]         -0.537  0.698  -1.849    0.751      0.005    0.009  18200.815  5634.355  1.001
1|id[1, 2552]         -0.206  0.739  -1.604    1.153      0.006    0.010  13121.679  5326.562  1.000
1|id[1, 2554]         -0.142  0.591  -1.244    0.968      0.005    0.008  15520.295  5650.584  1.001
1|id[1, 2555]         -0.133  0.659  -1.339    1.116      0.005    0.009  16738.355  5871.660  1.001
1|id[1, 2561]         -0.536  0.608  -1.679    0.592      0.005    0.008  15686.966  5539.613  1.000
1|id[1, 2562]          0.965  0.643  -0.256    2.161      0.005    0.008  16759.471  6128.241  1.002
1|id[1, 2563]          0.042  0.623  -1.145    1.219      0.005    0.008  15138.746  6084.263  1.000
1|id[1, 2564]         -0.852  0.652  -2.073    0.360      0.005    0.009  15757.713  5771.337  1.002
1|id[1, 2565]          0.767  0.611  -0.442    1.850      0.005    0.008  18395.749  5735.574  1.000
1|id[1, 2566]          0.552  0.587  -0.542    1.640      0.005    0.007  14683.325  5561.757  1.000
1|id[1, 2568]         -0.246  0.588  -1.361    0.837      0.005    0.008  15470.031  5627.378  1.000
1|id[1, 2576]         -0.759  0.593  -1.898    0.361      0.005    0.008  15761.559  5347.060  1.000
1|id[1, 2577]         -0.320  0.592  -1.407    0.834      0.005    0.007  15673.031  6195.647  1.000
1|id[1, 2584]         -0.954  0.640  -2.100    0.258      0.005    0.009  16238.277  5438.190  1.002
1|id[1, 2586]          0.481  0.616  -0.685    1.629      0.005    0.008  13252.356  5749.460  1.000
1|id[1, 2587]         -0.368  0.608  -1.575    0.736      0.004    0.008  19090.811  5634.585  1.000
1|id[1, 2588]         -0.824  0.641  -2.022    0.355      0.005    0.008  15611.692  6063.524  1.000
1|id[1, 2589]         -0.814  0.648  -2.135    0.319      0.005    0.008  14369.619  5206.505  1.001
1|id[1, 2590]         -0.483  0.627  -1.720    0.649      0.005    0.009  16417.103  5436.000  1.001
1|id[1, 2591]          0.735  0.617  -0.373    1.922      0.005    0.008  15469.241  5806.577  1.001
1|id[1, 2592]          0.060  0.622  -1.115    1.199      0.005    0.008  15696.804  5624.856  1.001
1|id[1, 2593]         -0.098  0.680  -1.384    1.171      0.005    0.009  17548.119  5751.813  1.000
1|id[1, 2594]          0.654  0.618  -0.520    1.796      0.005    0.008  15736.865  6156.341  1.001
1|id[1, 2595]         -0.020  0.604  -1.134    1.182      0.005    0.008  16286.719  5692.052  1.000
1|id[1, 2597]          0.698  0.621  -0.452    1.883      0.006    0.008  12622.845  5634.380  1.001
1|id[1, 2609]         -0.577  0.618  -1.711    0.643      0.005    0.008  16694.972  5693.453  1.000
1|id[1, 2615]          0.622  0.602  -0.522    1.734      0.005    0.008  15972.346  5300.107  1.001
1|id[1, 2616]         -0.200  0.766  -1.654    1.229      0.006    0.010  15518.607  5593.776  1.000
1|id[1, 2617]          0.058  0.622  -1.121    1.216      0.005    0.008  16407.517  6094.646  1.001
1|id[1, 2618]          0.744  0.589  -0.382    1.823      0.005    0.008  16837.952  5939.893  1.000
1|id[1, 2619]          1.140  0.624  -0.037    2.290      0.005    0.008  14627.283  5721.140  1.001
1|id[1, 2620]         -0.788  0.641  -1.978    0.402      0.005    0.009  14207.918  5407.756  1.000
1|id[1, 2623]          0.509  0.620  -0.624    1.675      0.005    0.008  15436.975  5470.350  1.000
1|id[1, 2624]          0.066  0.629  -1.147    1.200      0.005    0.008  14953.665  5779.296  1.000
1|id[1, 2626]         -0.630  0.622  -1.851    0.479      0.005    0.008  17414.895  6100.030  1.000
1|id[1, 2627]          0.219  0.581  -0.897    1.309      0.004    0.008  17822.318  5675.323  1.001
1|id[1, 2628]          0.177  0.569  -0.968    1.191      0.004    0.008  16384.610  5472.869  1.002
1|id[1, 2631]         -0.048  0.608  -1.264    1.023      0.005    0.008  14719.631  5691.911  1.001
1|id[1, 2632]          0.365  0.598  -0.796    1.454      0.005    0.008  17158.368  5700.908  1.002
1|id[1, 2633]          0.817  0.576  -0.246    1.924      0.005    0.007  14887.903  5626.841  1.001
1|id[1, 2634]          0.358  0.578  -0.672    1.485      0.004    0.007  17590.467  5831.760  1.000
1|id[1, 2635]          1.121  0.628  -0.046    2.301      0.005    0.008  16140.509  5725.887  1.001
1|id[1, 2637]          0.900  0.588  -0.210    1.992      0.005    0.008  17010.695  5408.468  1.000
1|id[1, 2647]         -0.725  0.592  -1.855    0.352      0.005    0.008  16190.473  5843.241  1.002
1|id[1, 2651]          0.274  0.617  -0.864    1.409      0.005    0.008  15886.696  5856.316  1.000
1|id[1, 2652]         -0.303  0.644  -1.464    0.921      0.005    0.008  15456.901  5672.280  1.001
1|id[1, 2653]          0.001  0.617  -1.150    1.158      0.005    0.008  13813.246  5557.212  1.000
1|id[1, 2657]         -0.803  0.645  -1.952    0.480      0.005    0.010  18537.331  4752.766  1.001
1|id[1, 2658]         -0.426  0.567  -1.522    0.619      0.005    0.007  15253.264  5635.740  1.000
1|id[2, 1]             0.427  0.647  -0.782    1.665      0.005    0.008  15079.015  5844.472  1.001
1|id[2, 4]             0.004  0.564  -1.066    1.040      0.005    0.007  14445.542  5364.870  1.002
1|id[2, 6]            -0.028  0.657  -1.253    1.223      0.005    0.009  14781.015  5773.751  1.001
1|id[2, 7]             0.101  0.604  -1.050    1.234      0.005    0.007  14653.134  5982.734  1.000
1|id[2, 9]            -0.500  0.681  -1.759    0.811      0.005    0.009  16417.435  5566.971  1.001
1|id[2, 10]           -0.561  0.663  -1.814    0.660      0.005    0.009  15179.665  5795.003  1.001
1|id[2, 16]           -0.479  0.696  -1.778    0.831      0.006    0.009  15578.955  5666.986  1.000
1|id[2, 18]           -0.818  0.632  -2.031    0.351      0.005    0.009  15538.135  6216.873  1.001
1|id[2, 21]           -0.409  0.609  -1.566    0.692      0.005    0.007  15379.716  6257.531  1.001
1|id[2, 22]           -0.564  0.652  -1.765    0.663      0.005    0.008  16996.116  5566.539  1.001
1|id[2, 23]            0.227  0.620  -0.965    1.377      0.005    0.008  17559.249  5377.654  1.000
1|id[2, 24]           -0.003  0.655  -1.252    1.214      0.005    0.008  16401.591  5740.994  1.001
1|id[2, 25]           -0.047  0.653  -1.299    1.163      0.005    0.009  16977.232  5674.973  1.002
1|id[2, 26]           -0.729  0.659  -1.963    0.500      0.005    0.009  15985.514  5507.550  1.001
1|id[2, 27]           -0.414  0.691  -1.684    0.873      0.006    0.008  15178.342  5829.873  1.000
1|id[2, 33]            0.688  0.613  -0.476    1.830      0.005    0.008  18249.770  5938.306  1.001
1|id[2, 35]           -0.458  0.682  -1.732    0.815      0.005    0.009  18307.909  5739.486  1.003
1|id[2, 46]            0.344  0.643  -0.813    1.609      0.005    0.008  16219.317  5697.643  1.000
1|id[2, 48]           -0.115  0.645  -1.333    1.077      0.005    0.008  16647.717  5541.219  1.001
1|id[2, 49]           -0.468  0.696  -1.806    0.776      0.006    0.009  13896.883  5716.264  1.000
1|id[2, 50]           -0.057  0.598  -1.189    1.065      0.005    0.007  16475.131  6127.871  1.001
1|id[2, 51]           -0.846  0.645  -2.058    0.336      0.005    0.009  18129.235  5886.134  1.001
1|id[2, 53]            0.075  0.583  -1.049    1.189      0.005    0.008  15843.263  5457.249  1.001
1|id[2, 55]            0.001  0.671  -1.281    1.262      0.005    0.009  16212.664  5553.700  1.000
1|id[2, 63]            0.750  0.594  -0.310    1.911      0.005    0.008  15587.447  5281.059  1.002
1|id[2, 85]            0.011  0.600  -1.123    1.134      0.005    0.008  15877.352  5803.029  1.002
1|id[2, 86]            0.718  0.603  -0.469    1.816      0.005    0.008  15418.391  5541.660  1.001
1|id[2, 94]            0.605  0.618  -0.571    1.728      0.005    0.008  15908.559  6115.124  1.000
1|id[2, 96]            0.082  0.571  -0.982    1.151      0.004    0.007  17246.677  5902.386  1.000
1|id[2, 101]           0.301  0.620  -0.965    1.369      0.005    0.009  16378.937  5477.758  1.001
1|id[2, 104]          -0.568  0.668  -1.813    0.699      0.005    0.008  16028.897  5912.382  1.000
1|id[2, 105]           0.895  0.589  -0.240    1.987      0.005    0.007  16928.375  6279.307  1.000
1|id[2, 106]          -0.155  0.653  -1.416    1.042      0.005    0.008  16032.901  5759.537  1.000
1|id[2, 108]          -0.545  0.676  -1.808    0.729      0.006    0.009  15042.468  5715.551  1.001
1|id[2, 112]          -0.152  0.663  -1.413    1.059      0.005    0.008  16768.972  5825.633  1.001
1|id[2, 113]          -0.058  0.589  -1.192    1.026      0.005    0.008  15205.592  6067.956  1.000
1|id[2, 114]          -0.275  0.622  -1.448    0.882      0.005    0.008  17532.810  5750.941  1.001
1|id[2, 118]           0.096  0.602  -1.020    1.245      0.005    0.008  13551.622  6155.774  1.001
1|id[2, 119]           0.483  0.675  -0.771    1.777      0.005    0.010  17356.061  5350.864  1.002
1|id[2, 124]           0.305  0.591  -0.806    1.403      0.005    0.007  16864.277  6381.809  1.000
1|id[2, 125]           0.298  0.628  -0.898    1.449      0.005    0.008  15444.795  5616.005  1.000
1|id[2, 127]          -0.426  0.691  -1.762    0.810      0.005    0.009  16108.946  5995.062  1.001
1|id[2, 151]           0.158  0.639  -1.045    1.323      0.005    0.008  15162.870  5756.645  1.001
1|id[2, 152]           0.239  0.646  -0.950    1.468      0.005    0.008  16582.214  5695.829  1.000
1|id[2, 153]           0.074  0.682  -1.192    1.364      0.005    0.009  17261.488  5708.672  1.002
1|id[2, 165]          -0.490  0.688  -1.806    0.764      0.006    0.009  15819.328  5570.982  1.000
1|id[2, 176]          -0.629  0.665  -1.937    0.553      0.005    0.008  15007.963  6026.101  1.000
1|id[2, 197]           0.444  0.657  -0.786    1.691      0.005    0.009  15810.429  5539.786  1.001
1|id[2, 198]          -0.214  0.628  -1.369    1.003      0.005    0.009  13652.116  5509.208  1.000
1|id[2, 200]          -0.416  0.695  -1.703    0.878      0.006    0.009  15864.916  5537.503  1.001
1|id[2, 232]          -0.472  0.698  -1.772    0.844      0.006    0.010  15878.103  4671.542  1.000
1|id[2, 233]          -0.263  0.623  -1.423    0.924      0.005    0.008  16506.207  5963.310  1.000
1|id[2, 234]           0.176  0.608  -0.965    1.290      0.005    0.008  15400.668  5900.997  1.002
1|id[2, 235]          -0.322  0.729  -1.626    1.114      0.006    0.009  16512.363  5975.381  1.000
1|id[2, 236]          -0.495  0.706  -1.894    0.771      0.005    0.009  16859.554  5469.812  1.000
1|id[2, 240]          -0.253  0.612  -1.385    0.868      0.005    0.008  15258.687  5363.734  1.000
1|id[2, 256]          -0.104  0.660  -1.353    1.081      0.005    0.008  18024.138  5688.698  1.000
1|id[2, 281]          -0.139  0.664  -1.379    1.091      0.005    0.009  16757.014  5994.321  1.001
1|id[2, 296]          -0.334  0.718  -1.735    0.954      0.005    0.010  17978.524  5456.788  1.002
1|id[2, 304]          -0.179  0.643  -1.420    0.955      0.005    0.009  16257.965  5690.624  1.001
1|id[2, 305]           0.020  0.593  -1.112    1.123      0.005    0.008  14829.044  5183.226  1.000
1|id[2, 307]          -0.392  0.691  -1.723    0.851      0.006    0.009  15020.678  6171.862  1.000
1|id[2, 309]           0.079  0.694  -1.281    1.295      0.005    0.010  17145.335  4531.298  1.001
1|id[2, 310]           0.075  0.681  -1.169    1.402      0.006    0.009  14916.581  5530.819  1.000
1|id[2, 311]          -0.316  0.627  -1.485    0.838      0.005    0.009  15427.325  5643.587  1.001
1|id[2, 312]           0.620  0.621  -0.529    1.783      0.005    0.008  16727.516  5612.519  1.000
1|id[2, 314]          -0.545  0.676  -1.799    0.716      0.006    0.009  15229.206  5346.945  1.001
1|id[2, 316]          -0.161  0.647  -1.374    1.080      0.005    0.008  16217.130  5714.349  1.001
1|id[2, 320]           0.435  0.763  -1.003    1.872      0.006    0.011  14308.274  5281.209  1.002
1|id[2, 325]          -0.309  0.721  -1.605    1.076      0.006    0.010  15192.275  5872.093  1.002
1|id[2, 355]          -0.041  0.674  -1.361    1.181      0.005    0.010  15843.125  5108.754  1.000
1|id[2, 358]           0.221  0.716  -1.174    1.529      0.006    0.010  16757.497  5384.208  1.001
1|id[2, 359]          -0.118  0.769  -1.526    1.338      0.006    0.010  15904.711  5593.198  1.001
1|id[2, 360]          -0.517  0.679  -1.737    0.796      0.006    0.009  15337.770  5683.042  1.001
1|id[2, 361]          -0.211  0.647  -1.380    1.049      0.006    0.009  13651.901  5726.011  1.001
1|id[2, 362]           0.307  0.586  -0.765    1.402      0.005    0.008  16837.602  5915.687  1.000
1|id[2, 374]          -0.701  0.654  -1.922    0.520      0.005    0.009  15241.585  5371.383  1.001
1|id[2, 377]          -0.694  0.665  -1.942    0.523      0.005    0.009  16334.203  5566.613  1.000
1|id[2, 378]           0.072  0.606  -1.137    1.155      0.005    0.008  15033.846  5808.587  1.002
1|id[2, 380]           0.064  0.603  -1.092    1.158      0.005    0.008  14978.395  5790.509  1.002
1|id[2, 381]          -0.242  0.596  -1.345    0.863      0.005    0.009  17472.274  5370.158  1.002
1|id[2, 382]          -0.028  0.670  -1.252    1.251      0.005    0.009  17331.811  5379.335  1.000
1|id[2, 383]           0.344  0.594  -0.775    1.413      0.005    0.007  15974.241  6332.980  1.000
1|id[2, 385]          -0.152  0.657  -1.397    1.061      0.005    0.008  14986.680  5839.399  1.000
1|id[2, 386]          -0.768  0.638  -1.962    0.386      0.005    0.009  15284.744  5563.251  1.000
1|id[2, 387]          -0.191  0.648  -1.466    0.955      0.005    0.009  17380.876  5581.603  1.000
1|id[2, 389]           0.931  0.559  -0.058    2.032      0.005    0.006  12938.410  6279.696  1.000
1|id[2, 391]           0.275  0.586  -0.809    1.387      0.005    0.008  16599.246  5253.360  1.000
1|id[2, 392]          -0.323  0.633  -1.539    0.841      0.005    0.009  18352.019  5444.623  1.000
1|id[2, 393]          -0.059  0.657  -1.240    1.182      0.005    0.009  16527.573  5436.666  1.000
1|id[2, 395]           0.142  0.697  -1.160    1.453      0.005    0.009  17298.706  5632.649  1.000
1|id[2, 396]          -0.021  0.680  -1.288    1.250      0.005    0.009  17015.079  6092.153  1.001
1|id[2, 397]           0.130  0.613  -0.991    1.287      0.005    0.007  15334.048  5866.846  1.000
1|id[2, 398]          -0.594  0.654  -1.827    0.618      0.005    0.008  16012.978  5701.630  1.001
1|id[2, 406]           0.039  0.621  -1.134    1.208      0.005    0.008  17612.114  5786.071  1.000
1|id[2, 407]          -0.481  0.676  -1.753    0.773      0.006    0.009  14844.474  5502.164  1.001
1|id[2, 421]          -0.069  0.660  -1.285    1.182      0.005    0.009  17991.506  5134.533  1.000
1|id[2, 422]           0.074  0.623  -1.114    1.231      0.005    0.008  16589.482  5704.987  1.000
1|id[2, 423]           0.733  0.703  -0.533    2.092      0.006    0.009  15621.771  5308.340  1.001
1|id[2, 429]          -0.257  0.622  -1.443    0.870      0.005    0.008  16123.647  5887.215  1.001
1|id[2, 431]           0.890  0.629  -0.272    2.085      0.005    0.008  17038.523  5759.594  1.001
1|id[2, 432]          -0.053  0.676  -1.323    1.233      0.006    0.009  15056.470  5100.102  1.000
1|id[2, 433]           0.252  0.651  -0.987    1.440      0.005    0.008  16504.240  5731.728  1.001
1|id[2, 434]           0.498  0.634  -0.673    1.702      0.005    0.008  16283.696  5498.410  1.000
1|id[2, 435]           0.416  0.650  -0.844    1.590      0.005    0.008  17742.417  5762.184  1.001
1|id[2, 436]           0.423  0.646  -0.770    1.622      0.005    0.008  17270.549  6175.721  1.001
1|id[2, 437]           0.429  0.613  -0.767    1.533      0.005    0.007  17965.605  5803.256  1.000
1|id[2, 438]          -0.458  0.684  -1.716    0.849      0.005    0.009  16180.441  5540.425  1.000
1|id[2, 439]           0.810  0.630  -0.360    2.027      0.005    0.008  17158.924  5816.722  1.000
1|id[2, 440]           1.220  0.632  -0.013    2.362      0.005    0.008  16570.601  5526.622  1.001
1|id[2, 441]           0.296  0.644  -0.913    1.500      0.005    0.008  14614.858  6129.247  1.000
1|id[2, 442]           0.650  0.623  -0.519    1.836      0.005    0.008  14406.515  5033.886  1.000
1|id[2, 443]          -0.497  0.692  -1.790    0.790      0.005    0.009  16124.956  5348.542  1.000
1|id[2, 444]           0.513  0.646  -0.729    1.717      0.005    0.008  16279.592  6073.189  1.000
1|id[2, 445]           0.438  0.587  -0.707    1.489      0.005    0.007  15553.118  6586.250  1.001
1|id[2, 451]          -0.507  0.680  -1.819    0.748      0.005    0.009  16278.352  5707.503  1.000
1|id[2, 466]          -0.455  0.605  -1.581    0.691      0.005    0.008  15363.380  5941.611  1.002
1|id[2, 483]           0.642  0.725  -0.676    2.049      0.006    0.010  15114.823  5582.735  1.000
1|id[2, 484]           0.176  0.615  -0.987    1.312      0.005    0.008  15774.782  5821.357  1.001
1|id[2, 485]          -0.195  0.631  -1.361    1.006      0.005    0.008  16260.866  5814.205  1.000
1|id[2, 502]          -0.463  0.599  -1.630    0.613      0.005    0.008  16746.664  5730.143  1.001
1|id[2, 503]           0.598  0.614  -0.522    1.785      0.005    0.008  17876.967  5333.482  1.001
1|id[2, 505]           0.079  0.604  -1.055    1.198      0.005    0.009  16067.717  4927.670  1.001
1|id[2, 507]          -0.521  0.659  -1.729    0.740      0.005    0.009  17331.108  5767.918  1.000
1|id[2, 508]           0.629  0.623  -0.595    1.761      0.005    0.008  13447.361  5751.808  1.000
1|id[2, 510]           0.460  0.752  -0.935    1.862      0.006    0.009  17236.514  5683.119  1.001
1|id[2, 511]           0.277  0.626  -0.869    1.469      0.005    0.008  14299.434  5885.778  1.000
1|id[2, 512]          -0.446  0.704  -1.849    0.800      0.006    0.009  15103.145  5891.879  1.000
1|id[2, 513]          -0.590  0.683  -1.915    0.655      0.005    0.009  16814.931  5352.155  1.000
1|id[2, 514]           0.048  0.612  -1.128    1.160      0.005    0.008  16909.471  5839.388  1.000
1|id[2, 519]          -0.926  0.631  -2.090    0.240      0.005    0.008  15511.223  6201.492  1.001
1|id[2, 520]           0.793  0.586  -0.329    1.875      0.005    0.008  14270.333  5716.119  1.000
1|id[2, 521]          -0.252  0.616  -1.437    0.899      0.005    0.008  16744.389  5555.557  1.000
1|id[2, 524]          -0.089  0.664  -1.378    1.140      0.005    0.009  17955.758  5341.363  1.000
1|id[2, 583]           0.715  0.553  -0.346    1.730      0.004    0.007  15226.872  6304.693  1.001
1|id[2, 585]          -0.659  0.660  -1.987    0.492      0.005    0.009  16299.649  4686.409  1.002
1|id[2, 588]           0.170  0.618  -1.029    1.262      0.005    0.008  15688.144  5922.888  1.001
1|id[2, 601]           0.156  0.571  -0.860    1.284      0.004    0.007  17262.922  5877.433  1.000
1|id[2, 602]           0.518  0.604  -0.614    1.642      0.005    0.007  14266.401  5909.365  1.000
1|id[2, 610]          -0.478  0.608  -1.599    0.649      0.005    0.008  15051.563  5803.680  1.001
1|id[2, 611]           0.497  0.604  -0.621    1.679      0.005    0.008  16131.812  5795.889  1.001
1|id[2, 612]          -0.640  0.653  -1.864    0.586      0.006    0.009  13304.655  5368.251  1.000
1|id[2, 615]           0.295  0.716  -1.106    1.586      0.006    0.009  16291.945  5961.166  1.000
1|id[2, 619]           0.346  0.589  -0.800    1.409      0.005    0.007  15611.328  5837.466  1.000
1|id[2, 623]          -0.685  0.647  -1.914    0.508      0.005    0.008  14937.493  6058.663  1.000
1|id[2, 626]          -0.540  0.693  -1.823    0.768      0.005    0.009  16054.206  5750.717  1.001
1|id[2, 628]           0.285  0.712  -1.061    1.627      0.006    0.010  15898.864  5168.638  1.000
1|id[2, 629]          -0.434  0.695  -1.780    0.829      0.005    0.010  16296.009  5113.590  1.002
1|id[2, 630]          -0.544  0.670  -1.735    0.765      0.005    0.009  15648.709  5745.041  1.001
1|id[2, 631]          -0.203  0.634  -1.396    0.990      0.005    0.009  16269.175  5065.740  1.000
1|id[2, 632]           0.285  0.723  -1.098    1.586      0.006    0.009  15907.239  5877.024  1.000
1|id[2, 636]          -0.317  0.634  -1.467    0.913      0.005    0.008  16293.156  5869.936  1.003
1|id[2, 637]           0.738  0.573  -0.296    1.843      0.005    0.007  15287.289  6263.186  1.001
1|id[2, 640]          -0.197  0.654  -1.466    0.966      0.005    0.008  17171.592  6048.061  1.000
1|id[2, 649]           0.518  0.598  -0.640    1.588      0.005    0.007  16767.771  5527.569  1.000
1|id[2, 650]          -0.701  0.633  -1.873    0.489      0.005    0.008  14303.016  5996.109  1.001
1|id[2, 651]           0.645  0.613  -0.476    1.833      0.005    0.008  15303.741  5668.839  1.000
1|id[2, 652]          -0.800  0.641  -1.952    0.451      0.006    0.009  13447.929  5071.385  1.000
1|id[2, 654]           0.366  0.590  -0.752    1.429      0.005    0.007  15449.086  6607.952  1.000
1|id[2, 660]          -0.256  0.650  -1.529    0.917      0.005    0.009  16551.272  5549.351  1.002
1|id[2, 661]          -0.118  0.639  -1.384    1.027      0.005    0.009  16807.323  5625.548  1.000
1|id[2, 663]          -0.585  0.681  -1.943    0.644      0.005    0.009  15493.192  5347.627  1.001
1|id[2, 666]           0.149  0.703  -1.101    1.532      0.005    0.009  17494.650  5066.465  1.002
1|id[2, 671]          -0.482  0.604  -1.611    0.648      0.005    0.008  16619.106  5760.723  1.001
1|id[2, 672]          -0.084  0.607  -1.222    1.051      0.005    0.008  15081.722  5343.841  1.000
1|id[2, 673]          -0.253  0.626  -1.481    0.868      0.005    0.008  15258.266  5836.198  1.000
1|id[2, 674]           0.051  0.516  -0.913    1.025      0.004    0.006  14462.080  5906.656  1.000
1|id[2, 675]          -0.093  0.600  -1.157    1.096      0.005    0.008  17097.592  5982.150  1.001
1|id[2, 676]          -0.562  0.681  -1.879    0.667      0.005    0.009  16384.547  5756.928  1.002
1|id[2, 677]          -0.543  0.671  -1.760    0.759      0.005    0.009  15228.786  5449.366  1.001
1|id[2, 683]           0.581  0.601  -0.541    1.702      0.005    0.008  17865.865  5619.328  1.001
1|id[2, 684]           0.133  0.606  -1.000    1.287      0.005    0.008  16652.053  5622.998  1.001
1|id[2, 686]           0.526  0.590  -0.582    1.637      0.005    0.007  16463.604  5798.938  1.001
1|id[2, 687]           0.854  0.576  -0.181    1.966      0.005    0.007  15896.093  5753.258  1.000
1|id[2, 690]           0.673  0.593  -0.396    1.823      0.005    0.007  15226.263  6222.502  1.000
1|id[2, 695]          -0.654  0.673  -1.938    0.585      0.005    0.009  16987.583  5722.813  1.001
1|id[2, 696]          -0.373  0.706  -1.692    0.926      0.006    0.009  15094.179  5620.877  1.000
1|id[2, 697]          -0.096  0.657  -1.390    1.093      0.005    0.009  17461.490  5414.889  1.001
1|id[2, 704]          -0.551  0.676  -1.796    0.754      0.005    0.009  17072.766  5174.966  1.000
1|id[2, 705]          -0.499  0.706  -1.762    0.871      0.006    0.011  15645.028  5462.918  1.001
1|id[2, 706]           0.091  0.619  -1.097    1.237      0.005    0.007  17584.996  6521.625  1.001
1|id[2, 707]           0.701  0.585  -0.396    1.814      0.005    0.007  15547.916  5838.803  1.001
1|id[2, 708]          -0.185  0.642  -1.412    0.993      0.005    0.008  16821.398  6008.214  1.000
1|id[2, 709]          -0.186  0.772  -1.554    1.313      0.006    0.011  17669.103  5430.916  1.001
1|id[2, 710]          -0.680  0.658  -1.972    0.506      0.005    0.009  20050.294  5436.014  1.001
1|id[2, 713]           0.264  0.507  -0.715    1.225      0.004    0.006  15422.218  6070.367  1.001
1|id[2, 715]           0.439  0.603  -0.677    1.567      0.005    0.007  13878.155  5463.567  1.002
1|id[2, 716]           0.556  0.561  -0.507    1.621      0.005    0.007  15273.818  5073.720  1.001
1|id[2, 717]           0.419  0.574  -0.615    1.559      0.005    0.007  14612.478  5707.395  1.001
1|id[2, 718]          -0.161  0.644  -1.387    1.040      0.005    0.008  15346.844  6254.332  1.000
1|id[2, 719]          -0.046  0.667  -1.258    1.219      0.005    0.010  16061.106  5073.950  1.000
1|id[2, 722]          -0.370  0.701  -1.670    0.925      0.005    0.010  17613.040  5411.080  1.002
1|id[2, 723]           0.359  0.643  -0.852    1.540      0.005    0.008  16416.179  5787.765  1.000
1|id[2, 725]          -0.298  0.727  -1.694    1.058      0.006    0.010  17396.268  5794.735  1.001
1|id[2, 727]          -0.256  0.657  -1.517    0.899      0.005    0.009  19198.202  5492.399  1.001
1|id[2, 730]          -0.155  0.631  -1.344    1.026      0.005    0.008  14844.630  5617.530  1.001
1|id[2, 732]           0.615  0.612  -0.598    1.721      0.005    0.008  18055.603  6243.528  1.000
1|id[2, 733]          -0.584  0.678  -1.854    0.699      0.005    0.009  15517.460  5393.104  1.002
1|id[2, 741]          -0.447  0.616  -1.543    0.762      0.005    0.007  16174.038  5024.043  1.001
1|id[2, 743]          -0.442  0.545  -1.490    0.556      0.004    0.007  16162.595  6169.946  1.001
1|id[2, 744]          -0.056  0.681  -1.376    1.172      0.005    0.009  15595.027  5407.011  1.002
1|id[2, 745]          -0.209  0.640  -1.445    0.958      0.005    0.008  15117.478  5902.508  1.001
1|id[2, 756]          -0.144  0.650  -1.317    1.136      0.005    0.008  16780.345  6105.825  1.001
1|id[2, 757]          -0.051  0.602  -1.144    1.102      0.005    0.007  16166.637  5715.760  1.001
1|id[2, 783]          -0.532  0.680  -1.784    0.755      0.005    0.009  16898.806  5643.218  1.000
1|id[2, 797]           0.139  0.628  -1.014    1.330      0.005    0.008  14730.347  5550.858  1.001
1|id[2, 803]          -0.793  0.639  -1.982    0.419      0.005    0.009  19479.219  5784.809  1.001
1|id[2, 806]          -0.864  0.637  -2.103    0.258      0.005    0.008  15030.123  5278.342  1.000
1|id[2, 807]           0.188  0.635  -0.978    1.399      0.005    0.008  13627.307  6033.297  1.001
1|id[2, 808]           0.174  0.639  -1.075    1.347      0.005    0.008  15109.736  5912.887  1.001
1|id[2, 810]           0.551  0.588  -0.536    1.640      0.005    0.007  16280.621  5452.098  1.001
1|id[2, 815]          -0.596  0.666  -1.893    0.576      0.005    0.009  14920.763  5794.306  1.001
1|id[2, 842]          -0.307  0.615  -1.403    0.863      0.005    0.007  17455.827  5873.484  1.000
1|id[2, 843]           0.171  0.624  -1.003    1.327      0.005    0.007  14245.699  5681.293  1.000
1|id[2, 845]           1.048  0.614  -0.088    2.232      0.005    0.008  16203.499  5761.378  1.000
1|id[2, 858]           1.134  0.577  -0.007    2.171      0.004    0.007  16813.530  5783.271  1.000
1|id[2, 859]           0.029  0.661  -1.253    1.236      0.005    0.008  15269.197  5509.981  1.001
1|id[2, 860]           0.155  0.629  -1.041    1.342      0.005    0.008  18099.773  5961.607  1.000
1|id[2, 861]           0.222  0.713  -1.062    1.604      0.005    0.011  18993.280  5284.308  1.001
1|id[2, 862]          -0.575  0.669  -1.874    0.666      0.005    0.009  15295.097  5370.718  1.000
1|id[2, 863]           0.731  0.595  -0.373    1.862      0.005    0.008  14768.224  5936.693  1.001
1|id[2, 864]           0.200  0.603  -0.879    1.368      0.005    0.008  16847.740  5579.027  1.000
1|id[2, 865]          -0.305  0.624  -1.509    0.807      0.005    0.008  16483.668  5441.038  1.001
1|id[2, 866]          -0.343  0.623  -1.479    0.866      0.005    0.008  15926.159  6202.388  1.000
1|id[2, 867]          -0.142  0.639  -1.382    1.020      0.005    0.008  15212.375  5525.029  1.000
1|id[2, 868]          -0.187  0.588  -1.332    0.862      0.005    0.008  15304.349  5377.235  1.002
1|id[2, 870]           0.252  0.568  -0.831    1.312      0.005    0.007  14166.842  5827.896  1.000
1|id[2, 899]           0.856  0.593  -0.226    1.968      0.005    0.007  15621.752  5201.967  1.000
1|id[2, 903]          -0.243  0.642  -1.462    0.934      0.005    0.009  16252.813  5486.265  1.000
