Target relationship: chronotype_desync -> cluster
Model Formula: Formula(cluster ~ age + chronotype_desync + patient_chronotype + sex + sri + (1|id))

                        mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd   ess_bulk  ess_tail  r_hat
1|id[1, 439]          -0.671  0.670  -2.011    0.506      0.006    0.009  14848.994  5370.214  1.001
1|id[1, 440]          -0.507  0.700  -1.834    0.790      0.005    0.009  16863.517  5779.296  1.000
1|id[1, 441]           0.418  0.620  -0.776    1.581      0.005    0.008  16910.884  5881.713  1.000
1|id[1, 442]          -0.123  0.653  -1.343    1.086      0.005    0.008  17976.365  5682.426  1.001
1|id[1, 443]          -0.233  0.646  -1.515    0.924      0.005    0.008  14613.544  5748.720  1.001
1|id[1, 444]          -0.326  0.648  -1.518    0.889      0.005    0.008  15141.179  6043.076  1.000
1|id[1, 445]           0.061  0.620  -1.095    1.205      0.005    0.008  16806.891  5770.876  1.000
1|id[1, 451]           0.742  0.598  -0.380    1.869      0.005    0.008  13734.428  5555.164  1.002
1|id[1, 466]          -0.095  0.582  -1.170    1.037      0.004    0.009  17289.520  4834.430  1.000
1|id[1, 483]          -0.296  0.707  -1.634    0.986      0.005    0.009  16706.561  5437.597  1.001
1|id[1, 484]           0.157  0.621  -1.009    1.330      0.005    0.008  16701.682  5833.814  1.001
1|id[1, 485]           0.000  0.597  -1.121    1.143      0.004    0.008  17907.759  5837.002  1.000
1|id[1, 502]          -0.690  0.588  -1.798    0.429      0.005    0.008  17067.087  5020.510  1.001
1|id[1, 503]           0.023  0.614  -1.108    1.198      0.005    0.008  15561.351  5487.381  1.001
1|id[1, 505]          -0.828  0.642  -2.034    0.372      0.005    0.009  16715.361  5062.930  1.000
1|id[1, 507]           0.537  0.595  -0.567    1.675      0.005    0.008  15179.699  5486.390  1.002
1|id[1, 508]          -0.277  0.649  -1.452    0.994      0.006    0.009  13573.769  5682.292  1.000
1|id[1, 510]          -0.150  0.751  -1.619    1.225      0.006    0.011  15638.509  4848.154  1.002
1|id[1, 511]           0.290  0.609  -0.812    1.464      0.005    0.008  17854.490  5520.403  1.000
1|id[1, 512]           0.550  0.636  -0.574    1.837      0.005    0.008  13992.313  5891.071  1.000
1|id[1, 513]          -0.827  0.629  -2.057    0.322      0.005    0.009  16874.853  5456.239  1.001
1|id[1, 514]          -0.120  0.611  -1.308    0.985      0.005    0.008  13692.558  5990.353  1.001
1|id[1, 519]          -0.781  0.579  -1.817    0.392      0.004    0.007  17639.786  5435.049  1.000
1|id[1, 520]           0.040  0.604  -1.167    1.113      0.005    0.008  15815.951  5911.160  1.001
1|id[1, 521]          -0.459  0.598  -1.570    0.680      0.004    0.009  17797.206  4611.711  1.000
1|id[1, 524]          -0.216  0.646  -1.403    1.012      0.005    0.009  15422.753  5007.057  1.000
