Target relationship: abs_chronotype_desync -> cluster
Model Formula: Formula(cluster ~ abs_chronotype_desync + age + patient_chronotype + sex + sri + (1|id))

                           mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd   ess_bulk  ess_tail  r_hat
abs_chronotype_desync[1] -0.134  0.042  -0.216   -0.056      0.000    0.000  15248.143  6242.181  1.000
abs_chronotype_desync[2] -0.050  0.041  -0.124    0.030      0.000    0.000  14856.925  6708.018  1.001
1|id[1, 687]             -0.825  0.643  -2.012    0.400      0.005    0.008  16625.936  5639.617  1.001
1|id[1, 690]              0.187  0.605  -0.950    1.301      0.005    0.008  14814.672  5588.130  1.001
1|id[1, 695]             -0.171  0.617  -1.358    0.967      0.005    0.009  16524.204  5250.261  1.001
1|id[1, 696]              0.608  0.631  -0.560    1.817      0.005    0.009  19321.943  5443.881  1.000
1|id[1, 697]             -0.265  0.652  -1.474    0.968      0.005    0.009  16477.976  5549.300  1.001
1|id[1, 704]              0.107  0.548  -0.920    1.117      0.004    0.007  17396.334  5879.125  1.000
1|id[1, 705]              0.187  0.651  -1.083    1.385      0.005    0.009  15235.545  5837.505  1.001
1|id[1, 706]              0.174  0.584  -0.980    1.211      0.005    0.008  15422.286  6107.304  1.001
1|id[1, 707]             -0.433  0.611  -1.642    0.672      0.005    0.008  17688.948  6023.205  1.000
1|id[1, 708]              0.591  0.579  -0.561    1.641      0.005    0.007  13301.872  5942.137  1.000
1|id[1, 709]              0.354  0.739  -0.995    1.760      0.006    0.009  17765.301  5749.804  1.000
1|id[1, 710]              0.140  0.573  -0.928    1.206      0.004    0.007  17314.274  5793.313  1.000
1|id[1, 713]             -0.388  0.524  -1.396    0.580      0.004    0.006  16738.521  6740.263  1.001
1|id[1, 715]             -0.018  0.610  -1.186    1.098      0.005    0.008  15015.731  5870.767  1.001
1|id[1, 716]             -0.780  0.643  -1.990    0.408      0.005    0.009  15345.140  5654.308  1.001
1|id[1, 717]             -0.353  0.587  -1.517    0.703      0.005    0.007  15868.281  6167.610  1.000
1|id[1, 718]              0.564  0.602  -0.553    1.706      0.005    0.007  15085.439  6118.106  1.000
1|id[1, 719]              0.363  0.618  -0.757    1.578      0.005    0.008  16286.648  5764.190  1.001
1|id[1, 722]             -0.055  0.661  -1.328    1.146      0.005    0.009  15440.273  5380.166  1.000
1|id[1, 723]              0.819  0.586  -0.350    1.863      0.005    0.007  15198.920  5678.530  1.001
1|id[1, 725]             -0.399  0.706  -1.756    0.898      0.006    0.010  16354.585  5213.853  1.000
1|id[1, 727]             -0.669  0.658  -1.986    0.509      0.005    0.009  15140.501  5731.212  1.000
1|id[1, 730]              0.417  0.567  -0.685    1.429      0.005    0.007  14539.449  6209.447  1.001
1|id[1, 732]              0.108  0.611  -1.030    1.254      0.005    0.008  16221.640  6152.701  1.001
1|id[1, 733]              0.534  0.581  -0.519    1.660      0.004    0.007  17833.836  5707.072  1.002
1|id[1, 741]             -0.854  0.660  -2.110    0.354      0.005    0.009  17729.551  4957.812  1.000
1|id[1, 743]             -1.079  0.595  -2.212    0.024      0.005    0.007  15249.237  5612.329  1.000
1|id[1, 744]              0.174  0.646  -1.060    1.399      0.005    0.008  14283.793  5040.320  1.002
1|id[1, 745]              0.231  0.594  -0.964    1.268      0.004    0.008  17682.897  6075.928  1.001
1|id[1, 756]             -0.073  0.614  -1.283    1.038      0.005    0.008  18421.466  5972.984  1.000
1|id[1, 757]             -0.077  0.561  -1.189    0.938      0.004    0.007  16054.991  5646.427  1.001
1|id[1, 783]             -0.752  0.665  -2.002    0.499      0.005    0.009  16977.185  5625.245  1.000
1|id[1, 797]             -0.144  0.591  -1.245    0.953      0.005    0.007  16712.480  6463.972  1.000
1|id[1, 803]             -0.435  0.572  -1.477    0.675      0.004    0.008  18521.729  5363.743  1.002
1|id[1, 806]             -0.792  0.592  -1.900    0.335      0.004    0.008  17866.062  5302.050  1.001
1|id[1, 807]              0.605  0.596  -0.535    1.706      0.005    0.007  14959.930  5997.017  1.001
1|id[1, 808]              0.599  0.599  -0.539    1.708      0.005    0.009  14475.664  5368.327  1.002
1|id[1, 810]             -0.310  0.620  -1.490    0.824      0.005    0.009  15392.207  5429.544  1.002
1|id[1, 815]              0.376  0.571  -0.683    1.454      0.004    0.008  17198.778  5495.188  1.001
1|id[1, 842]              0.222  0.554  -0.825    1.258      0.004    0.007  15435.748  5610.919  1.001
1|id[1, 843]              0.385  0.583  -0.750    1.442      0.004    0.008  16849.065  5963.768  1.000
1|id[1, 845]             -0.372  0.641  -1.559    0.851      0.005    0.008  14238.982  5840.324  1.000
1|id[1, 858]             -0.302  0.627  -1.478    0.851      0.005    0.008  17392.759  5899.992  1.001
1|id[1, 859]              0.107  0.616  -1.079    1.214      0.005    0.008  16269.114  5704.616  1.001
1|id[1, 860]              0.248  0.602  -0.919    1.355      0.005    0.008  17119.104  6002.255  1.001
1|id[1, 861]              0.123  0.708  -1.206    1.491      0.005    0.010  18639.243  4842.422  1.001
1|id[1, 862]             -0.113  0.593  -1.216    1.034      0.005    0.008  16862.585  5877.702  1.001
1|id[1, 863]             -0.758  0.649  -1.908    0.538      0.005    0.009  16142.295  5225.740  1.000
1|id[1, 864]             -0.072  0.601  -1.176    1.059      0.004    0.009  18145.729  5574.870  1.001
1|id[1, 865]             -0.019  0.561  -1.105    1.007      0.005    0.007  13762.921  5130.210  1.000
1|id[1, 866]              0.029  0.570  -1.077    1.069      0.004    0.007  17294.744  5704.865  1.001
1|id[1, 867]              0.424  0.554  -0.641    1.447      0.004    0.007  15452.662  5855.559  1.001
1|id[1, 868]              0.093  0.518  -0.848    1.090      0.004    0.007  17313.600  6273.721  1.000
1|id[1, 870]             -0.083  0.590  -1.191    0.999      0.005    0.008  16026.934  5014.566  1.001
1|id[1, 899]             -0.327  0.626  -1.470    0.879      0.005    0.008  18916.910  5258.014  1.001
1|id[1, 903]             -0.542  0.670  -1.865    0.655      0.005    0.009  16819.624  5021.039  1.000
1|id[1, 905]              0.504  0.579  -0.622    1.565      0.004    0.007  16706.099  6181.956  1.000
1|id[1, 906]             -0.722  0.644  -1.964    0.446      0.005    0.009  16638.867  5614.517  1.001
1|id[1, 908]              0.072  0.614  -1.063    1.228      0.006    0.008  12226.804  5353.936  1.002
1|id[1, 910]              0.045  0.677  -1.212    1.334      0.005    0.009  18612.383  5830.990  1.001
1|id[1, 920]              0.021  0.625  -1.101    1.219      0.005    0.009  18055.052  5322.446  1.000
1|id[1, 921]              0.193  0.576  -0.872    1.299      0.005    0.007  15653.419  6308.584  1.000
1|id[1, 922]             -0.027  0.593  -1.204    1.025      0.004    0.007  19650.792  6251.663  1.001
1|id[1, 923]             -0.618  0.673  -1.880    0.657      0.005    0.010  16363.436  4839.421  1.001
1|id[1, 932]              0.124  0.651  -1.120    1.309      0.005    0.009  17026.322  5715.508  1.000
1|id[1, 933]             -0.158  0.610  -1.287    1.023      0.005    0.008  16244.886  5630.222  1.000
1|id[1, 934]             -0.709  0.659  -1.927    0.512      0.005    0.009  17040.456  5539.957  1.001
1|id[1, 935]              0.781  0.597  -0.403    1.838      0.005    0.007  14026.866  5991.718  1.000
1|id[1, 936]             -0.397  0.695  -1.787    0.845      0.005    0.011  19644.451  5220.622  1.000
1|id[1, 937]              0.036  0.667  -1.172    1.305      0.005    0.009  17863.915  5194.592  1.001
1|id[1, 938]              0.491  0.597  -0.624    1.617      0.005    0.007  13826.690  6375.979  1.000
1|id[1, 939]             -0.059  0.686  -1.363    1.192      0.005    0.009  16389.756  5315.179  1.001
1|id[1, 940]              0.637  0.580  -0.394    1.789      0.004    0.009  17179.065  5110.736  1.001
1|id[1, 941]             -0.645  0.649  -1.880    0.541      0.005    0.008  19141.051  6003.337  1.000
1|id[1, 942]             -0.336  0.582  -1.386    0.810      0.005    0.008  14897.560  5763.991  1.000
1|id[1, 944]             -0.167  0.578  -1.293    0.872      0.004    0.008  17158.573  5767.034  1.003
1|id[1, 945]              0.047  0.604  -1.082    1.188      0.005    0.008  15878.649  5507.176  1.001
1|id[1, 946]             -0.679  0.603  -1.830    0.404      0.005    0.008  15770.497  5365.764  1.001
1|id[1, 947]              0.897  0.596  -0.217    2.005      0.005    0.008  16836.072  5944.709  1.001
1|id[1, 948]              0.178  0.613  -1.007    1.298      0.005    0.008  16914.657  5622.263  1.000
